market_type,security_code,orig_time,kline_time,open_price,high_price,low_price,close_price,volume_trade,value_trade,variety_category,open_price_yuan,high_price_yuan,low_price_yuan,close_price_yuan,volume_shares,value_trade_yuan
101,513350,0,202608211111,1343000,1344000,1343000,1343000,8980000,12062700000,0,1.343,1.344,1.343,1.343,89800,120627
101,513350,0,202608211112,1344000,1344000,1343000,1344000,196260000,263770680000,0,1.344,1.344,1.343,1.344,1962600,2637706.8
101,513350,0,202608211113,1344000,1345000,1344000,1345000,174130000,234098150000,0,1.344,1.345,1.344,1.345,1741300,2340981.5
101,513350,0,202608211114,1345000,1345000,1344000,1345000,108600000,146059010000,0,1.345,1.345,1.344,1.345,1086000,1460590.1
101,513350,0,202608211115,1345000,1345000,1344000,1344000,50960000,68515300000,0,1.345,1.345,1.344,1.344,509600,685153
101,513350,0,202608211116,1344000,1345000,1343000,1343000,204770000,275177270000,0,1.344,1.345,1.343,1.343,2047700,2751772.7
101,513350,0,202608211117,1343000,1343000,1342000,1343000,139290000,187067870000,0,1.343,1.343,1.342,1.343,1392900,1870678.7
101,513350,0,202608211118,1343000,1343000,1342000,1343000,21450000,28794570000,0,1.343,1.343,1.342,1.343,214500,287945.7
101,513350,0,202608211119,1343000,1343000,1342000,1343000,27420000,36809770000,0,1.343,1.343,1.342,1.343,274200,368097.7
101,513350,0,202608211120,1342000,1344000,1342000,1343000,79250000,106425390000,0,1.342,1.344,1.342,1.343,792500,1064253.9
101,513350,0,202608211121,1343000,1344000,1343000,1344000,42250000,56743000000,0,1.343,1.344,1.343,1.344,422500,567430
101,513350,0,202608211122,1344000,1344000,1343000,1343000,23230000,31216920000,0,1.344,1.344,1.343,1.343,232300,312169.2
101,513350,0,202608211123,1343000,1344000,1343000,1344000,5250000,7052890000,0,1.343,1.344,1.343,1.344,52500,70528.9
101,513350,0,202608211124,1344000,1344000,1343000,1343000,24750000,33239670000,0,1.344,1.344,1.343,1.343,247500,332396.7
101,513350,0,202608211125,1343000,1343000,1342000,1342000,127120000,170707090000,0,1.343,1.343,1.342,1.342,1271200,1707070.9
101,513350,0,202608211126,1342000,1343000,1342000,1342000,45610000,61229590000,0,1.342,1.343,1.342,1.342,456100,612295.9
101,513350,0,202608211127,1342000,1343000,1342000,1342000,24690000,33139770000,0,1.342,1.343,1.342,1.342,246900,331397.7
101,513350,0,202608211128,1342000,1342000,1341000,1342000,352940000,473598140000,0,1.342,1.342,1.341,1.342,3529400,4735981.4
101,513350,0,202608211129,1341000,1342000,1341000,1341000,112930000,151485840000,0,1.341,1.342,1.341,1.341,1129300,1514858.4
101,513350,0,202608211130,1341000,1341000,1341000,1341000,0,0,0,1.341,1.341,1.341,1.341,0,0
101,513350,0,202608211300,1342000,1342000,1341000,1342000,130760000,175374010000,0,1.342,1.342,1.341,1.342,1307600,1753740.1
101,513350,0,202608211301,1341000,1343000,1341000,1343000,136970000,183804390000,0,1.341,1.343,1.341,1.343,1369700,1838043.9
101,513350,0,202608211302,1343000,1343000,1341000,1341000,141020000,189257640000,0,1.343,1.343,1.341,1.341,1410200,1892576.4
101,513350,0,202608211303,1341000,1342000,1341000,1341000,44220000,59305290000,0,1.341,1.342,1.341,1.341,442200,593052.9
101,513350,0,202608211304,1341000,1342000,1341000,1342000,35700000,47878170000,0,1.341,1.342,1.341,1.342,357000,478781.7
101,513350,0,202608211305,1342000,1343000,1341000,1342000,162310000,217804740000,0,1.342,1.343,1.341,1.342,1623100,2178047.4
101,513350,0,202608211306,1342000,1343000,1341000,1341000,139760000,187563020000,0,1.342,1.343,1.341,1.341,1397600,1875630.2
101,513350,0,202608211307,1341000,1342000,1341000,1342000,87410000,117257480000,0,1.341,1.342,1.341,1.342,874100,1172574.8
101,513350,0,202608211308,1342000,1342000,1341000,1341000,83070000,111473150000,0,1.342,1.342,1.341,1.341,830700,1114731.5
101,513350,0,202608211309,1342000,1342000,1341000,1341000,98790000,132520880000,0,1.342,1.342,1.341,1.341,987900,1325208.8
101,513350,0,202608211310,1341000,1342000,1341000,1342000,29010000,38909720000,0,1.341,1.342,1.341,1.342,290100,389097.2
101,513350,0,202608211311,1341000,1342000,1341000,1341000,28800000,38623350000,0,1.341,1.342,1.341,1.341,288000,386233.5
101,513350,0,202608211312,1341000,1342000,1341000,1341000,40430000,54230010000,0,1.341,1.342,1.341,1.341,404300,542300.1
101,513350,0,202608211313,1341000,1342000,1341000,1341000,21020000,28189330000,0,1.341,1.342,1.341,1.341,210200,281893.3
101,513350,0,202608211314,1341000,1342000,1341000,1341000,47890000,64222960000,0,1.341,1.342,1.341,1.341,478900,642229.6
101,513350,0,202608211315,1341000,1342000,1341000,1341000,81830000,109765590000,0,1.341,1.342,1.341,1.341,818300,1097655.9
101,513350,0,202608211316,1341000,1342000,1341000,1342000,27750000,37226010000,0,1.341,1.342,1.341,1.342,277500,372260.1
101,513350,0,202608211317,1342000,1342000,1341000,1342000,22410000,30067630000,0,1.342,1.342,1.341,1.342,224100,300676.3
101,513350,0,202608211318,1342000,1342000,1340000,1340000,381200000,511175130000,0,1.342,1.342,1.34,1.34,3812000,5111751.3
101,513350,0,202608211319,1341000,1341000,1340000,1340000,64460000,86389090000,0,1.341,1.341,1.34,1.34,644600,863890.9
101,513350,0,202608211320,1340000,1341000,1340000,1340000,208149900,278922556000,0,1.34,1.341,1.34,1.34,2081499,2789225.56
101,513350,0,202608211321,1340000,1341000,1340000,1340000,250560100,335753374000,0,1.34,1.341,1.34,1.34,2505601,3357533.74
101,513350,0,202608211322,1340000,1341000,1340000,1340000,41660000,55825160000,0,1.34,1.341,1.34,1.34,416600,558251.6
101,513350,0,202608211323,1341000,1341000,1340000,1341000,11740000,15732130000,0,1.341,1.341,1.34,1.341,117400,157321.3
101,513350,0,202608211324,1341000,1341000,1340000,1340000,8620000,11556330000,0,1.341,1.341,1.34,1.34,86200,115563.3
101,513350,0,202608211325,1340000,1341000,1340000,1341000,51510000,69032090000,0,1.34,1.341,1.34,1.341,515100,690320.9
101,513350,0,202608211326,1340000,1342000,1340000,1342000,346370000,464475870000,0,1.34,1.342,1.34,1.342,3463700,4644758.7
101,513350,0,202608211327,1342000,1342000,1341000,1342000,73810000,99047310000,0,1.342,1.342,1.341,1.342,738100,990473.1
