fund_code,fund_market,date,time,estimated_nav,stock_value_cny,fixed_cash_cny,estimated_cash_cny,creation_unit,published_nav,minute_component_count,minute_source_ref,minute_quote_source
520860,SH,2026-09-08,1546,0.7755835225061,775471.21250610,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1547,0.7758009814951,775688.67149510,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1548,0.776029116687,775916.80668700,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1549,0.7761502304039,776037.92040390,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1550,0.7760482940705,775935.98407050,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1551,0.7756167142977,775504.40429770,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1552,0.775594328432,775482.01843200,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1553,0.7756155900317,775503.28003170,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1554,0.7757215607504,775609.25075040,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1555,0.775739185782,775626.87578200,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1556,0.7759269036112,775814.59361120,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1557,0.775815289942,775702.97994200,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1558,0.7758880558968,775775.74589680,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1559,0.7759971745603,775884.86456030,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1608,0.7760338991416,775921.58914160,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0930,0.7519853178389,751997.43783890,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0931,0.7495388415132,749550.96151320,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0932,0.7492433108987,749255.43089870,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0933,0.7497094142859,749721.53428590,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0934,0.7476476617854,747659.78178540,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0935,0.746289833848,746301.95384800,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0936,0.7462800873266,746292.20732660,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0937,0.7457694803022,745781.60030220,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0938,0.7460843872088,746096.50720880,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0939,0.7453871520284,745399.27202840,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0940,0.7450869643582,745099.08435820,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0941,0.744394926746,744407.04674600,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0942,0.7434368834741,743449.00347410,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0943,0.741762890317,741775.01031700,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0944,0.7413313754057,741343.49540570,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0945,0.7409514167387,740963.53673870,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0946,0.7409602768196,740972.39681960,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0947,0.7409048894227,740917.00942270,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0948,0.7410208142196,741032.93421960,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0949,0.7415162739217,741528.39392170,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0950,0.7422233810224,742235.50102240,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0951,0.7417714433868,741783.56338680,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0952,0.7418495496051,741861.66960510,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0953,0.7425516753426,742563.79534260,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0954,0.7435769151285,743589.03512850,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0955,0.7445147562052,744526.87620520,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0956,0.7438846699737,743896.78997370,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0957,0.744183175569,744195.29556900,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0958,0.7443504577016,744362.57770160,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,0959,0.7448125137312,744824.63373120,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1000,0.7449193276494,744931.44764940,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1001,0.7447648491769,744776.96917690,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1002,0.7451566904707,745168.81047070,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1003,0.7451906692485,745202.78924850,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1004,0.7452277224614,745239.84246140,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1005,0.7461950322796,746207.15227960,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1006,0.7461514756203,746163.59562030,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1007,0.7462630417244,746275.16172440,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1008,0.7473666082577,747378.72825770,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
520730,SH,2026-09-08,1009,0.7474142079505,747426.32795050,0,-12.12,1000000,0.7476,40,minute:520730,Tencent minute; exact common timestamp intersection
