horizon,scenario,model,days,samples,target_std_bps,residual_std_bps,variance_reduction,residual_mean_bps,upside_es95_bps,downside_es95_bps,abs_p95_bps,first_oos,last_oos
15,fresh_endpoint_2%_evaluation_subset,selected,37,1023,25.92719756968918,14.78953858698823,0.6746145751546759,0.6266286012874291,33.2590424327156,29.479896817319,28.645459921352565,,
15,fresh_endpoint_2%_evaluation_subset,HHI_HTI_fixed_pair,37,1023,25.92719756968918,14.879014331686792,0.670665544257746,0.8657326355149945,34.09166320911317,28.44869758767492,27.897874307716076,,
15,fresh_endpoint_2%_evaluation_subset,HTI_FUT,37,1023,25.92719756968918,15.196001542194438,0.6564835778896851,1.4744032095113753,35.302362788160366,28.174065048435406,29.028267451014024,,
15,fresh_endpoint_5%_evaluation_subset,selected,37,1912,26.267212884376427,14.880858181358457,0.679056955705491,0.46321993070049344,33.237480896656095,30.5016732219026,28.910214741528513,,
15,fresh_endpoint_5%_evaluation_subset,HHI_HTI_fixed_pair,37,1912,26.267212884376427,15.09882278943693,0.6695861920212478,0.6653197110533714,33.80271950544972,30.333068482818717,29.51550777609808,,
15,fresh_endpoint_5%_evaluation_subset,HTI_FUT,37,1912,26.267212884376427,15.531400912316991,0.6503824115531935,0.9361723917678397,34.913415691300074,30.855252195875018,30.585001398887304,,
15,hedge_timestamp_shift_-1m_frozen_weights,selected,37,3848,25.869682808024375,16.372710131282123,0.5994479688330707,-0.07586314601932503,35.879398680507244,35.014345272226485,33.25304846215845,,
15,hedge_timestamp_shift_-1m_frozen_weights,HHI_HTI_fixed_pair,37,3848,25.869682808024375,16.76900311596961,0.579822992932218,0.11974032918738041,37.64869192150047,35.09767271328344,33.42896729481946,,
15,hedge_timestamp_shift_+1m_frozen_weights,selected,37,3848,25.78194458519103,14.914480202466821,0.66535456676137,0.0018851987593184088,32.776060918104704,32.153853786822445,30.163865425134198,,
15,hedge_timestamp_shift_+1m_frozen_weights,HHI_HTI_fixed_pair,37,3848,25.78194458519103,14.089976094545454,0.701331671569489,0.22273793039587556,31.572019831938302,29.656445893386095,28.631054082802645,,
15,fresh_2pct_refit,selected,36,1003,25.56269848240197,14.957853761954121,0.6576067684032608,0.857707313297117,35.63149628594425,27.6789033004112,28.618301646271536,20260611,20260803
15,fresh_2pct_refit,HHI_HTI_fixed_pair,36,1003,25.56269848240197,14.464894419544162,0.6798030865744704,0.8109635134614295,34.11715062889618,26.525421340023257,27.875495473069556,20260611,20260803
15,fresh_2pct_refit,HTI_FUT,36,1003,25.56269848240197,14.810471623855914,0.6643208383570425,1.4266997708686446,35.30608954528122,26.548540627068117,28.892593295004957,20260611,20260803
15,exclude_suspended_days_refit,selected,18,1890,26.100160245935175,13.584506029022531,0.7291047723155143,1.3650522869932078,30.701578221913003,27.68218128831159,27.990915586124615,20260709,20260803
15,exclude_suspended_days_refit,HHI_HTI_fixed_pair,18,1890,26.100160245935175,14.121420852609461,0.7072678348352034,1.2786943440941683,31.133636929009864,29.5134863380078,28.5681875970084,20260709,20260803
15,exclude_suspended_days_refit,HTI_FUT,18,1890,26.100160245935175,14.134452445657217,0.7067273047188348,1.9528166686421535,32.7859931629643,27.88973997424928,28.475151248569837,20260709,20260803
