horizon,test_date,fit_start,inner_fit_end,validation_start,train_end,train_rows,test_rows,selection_score,alpha,legs,HSI_FUT,HHI_FUT,HTI_FUT,02800,02828,03032,03033,02845,fixed_pair_HHI_beta,fixed_pair_HTI_beta
30,20260721,20260417,20260706,20260707,20260720,5400,90,0.0031013181060523076,0.0,02828+03032,0.0,0.0,0.0,0.0,0.49769538081504966,0.4891333149816648,0.0,0.0,0.5406958214277623,0.4453270863154856
30,20260722,20260420,20260707,20260708,20260721,5400,90,0.003111554509305763,0.0,02828+03032,0.0,0.0,0.0,0.0,0.48329476339627725,0.49520926261877707,0.0,0.0,0.5184556042385818,0.4560030726190661
30,20260723,20260421,20260708,20260709,20260722,5400,90,0.003047139760853278,0.0,02828+03032,0.0,0.0,0.0,0.0,0.48893672872341176,0.49440623109341536,0.0,0.0,0.5198091714401055,0.45733400100025284
30,20260724,20260422,20260709,20260710,20260723,5400,90,0.002954552007942735,0.0,02828+03032,0.0,0.0,0.0,0.0,0.47865328058344303,0.4940938294215488,0.0,0.0,0.5110559556389365,0.45647933694800247
30,20260727,20260423,20260710,20260713,20260724,5400,90,0.002932714686696656,0.0,02828+03032,0.0,0.0,0.0,0.0,0.4672175329510735,0.5012564681558226,0.0,0.0,0.4979185923546091,0.4643897269857456
30,20260728,20260424,20260713,20260714,20260727,5400,90,0.0029168780501182857,0.0,02828+03032,0.0,0.0,0.0,0.0,0.44773149645150323,0.5121129394736103,0.0,0.0,0.48555509286776655,0.4704208812423991
30,20260729,20260427,20260714,20260715,20260728,5400,90,0.0026368309311335324,0.0,02828+03032,0.0,0.0,0.0,0.0,0.4251570516967944,0.5243070116609162,0.0,0.0,0.4608779270066346,0.48450839458399736
30,20260730,20260428,20260715,20260716,20260729,5400,90,0.0026352579738868395,0.0,02828+03032,0.0,0.0,0.0,0.0,0.43049979616371836,0.5207077638938478,0.0,0.0,0.4669539018546113,0.48009834973503207
30,20260731,20260429,20260716,20260717,20260730,5400,90,0.0024382832363012827,0.0,02828+03032,0.0,0.0,0.0,0.0,0.46260722437525487,0.49896850188747205,0.0,0.0,0.4997306269969784,0.4565937474610334
30,20260803,20260430,20260717,20260720,20260731,5400,90,0.0023168502502873456,0.1,02828+03032,0.0,0.0,0.0,0.0,0.3904912037348943,0.5007380518786941,0.0,0.0,0.5092797293653971,0.4490979543084183
60,20260610,20260303,20260522,20260526,20260609,3600,60,0.003795200511153031,0.0,HHI_FUT+02845,0.0,1.1638745804582749,0.0,0.0,0.0,0.0,0.0,0.21469824815812869,0.6928010257858827,0.49772084891454366
60,20260611,20260304,20260526,20260527,20260610,3600,60,0.00393164988164826,0.0,HSI_FUT+02845,1.288659445852866,0.0,0.0,0.0,0.0,0.0,0.0,0.2125538984510521,0.6639593342717304,0.5170178940085284
60,20260612,20260305,20260527,20260528,20260611,3600,60,0.003950618415232715,0.0,HSI_FUT+02845,1.2935709951022771,0.0,0.0,0.0,0.0,0.0,0.0,0.2137508902724494,0.690044775795034,0.5046456404717483
60,20260615,20260306,20260528,20260529,20260612,3600,60,0.0036708649589749353,0.01,HSI_FUT+03033,0.8480038257732586,0.0,0.0,0.0,0.0,0.0,0.4318781408568242,0.0,0.6583229649841066,0.5030677371745546
60,20260616,20260309,20260529,20260601,20260615,3600,60,0.003375393923368776,0.0,HTI_FUT,0.0,0.0,0.8850642224093137,0.0,0.0,0.0,0.0,0.0,0.6704142698329763,0.4974162557711798
60,20260617,20260310,20260601,20260603,20260616,3600,60,0.0033853012968832036,0.0,03032+02845,0.0,0.0,0.0,0.0,0.0,0.7038298878974327,0.0,0.23046692676794087,0.7340450681699988,0.44361391702998265
60,20260618,20260316,20260603,20260604,20260617,3600,60,0.003372738494293762,0.01,HHI_FUT+03032,0.0,0.74953169041194,0.0,0.0,0.0,0.44119025849593957,0.0,0.0,0.739046123719792,0.44357266680593727
60,20260622,20260317,20260604,20260605,20260618,3600,60,0.0034209870628292803,0.01,HHI_FUT+03032,0.0,0.7491269907105033,0.0,0.0,0.0,0.43023710669042625,0.0,0.0,0.7376707311176032,0.43319460885771816
60,20260623,20260318,20260605,20260608,20260622,3600,60,0.0029390502722555284,0.0,HSI_FUT+02845,1.2460502786178642,0.0,0.0,0.0,0.0,0.0,0.0,0.21198655548061665,0.7467675414631426,0.426582693765046
60,20260624,20260319,20260608,20260609,20260623,3600,60,0.002988410753934455,0.0,HSI_FUT+02845,1.2307394403880518,0.0,0.0,0.0,0.0,0.0,0.0,0.20946617526485864,0.7042710278805152,0.4521532677239024
60,20260625,20260320,20260609,20260610,20260624,3600,60,0.0028657894695215146,0.0,HSI_FUT+02845,1.2225558491569894,0.0,0.0,0.0,0.0,0.0,0.0,0.21190572193081142,0.7075803431759013,0.4456885235418013
